"","code","nro_bloque","competitive","individual","outcome_00","outcome_01","outcome_10","outcome_11","outcome_0","outcome_1"
"1","sujeto_0000621","1",31,1,4,14,5,8,NA,1
"2","sujeto_0000621","2",32,NA,6,13,3,10,NA,NA
"3","sujeto_0000621","3",31,1,6,12,5,8,1,NA
"4","sujeto_0000621","4",32,NA,5,14,4,9,NA,NA
"5","sujeto_0005719","1",28,4,3,14,4,7,1,3
"6","sujeto_0005719","2",24,8,4,11,3,6,4,4
"7","sujeto_0005719","3",24,8,3,12,3,6,4,4
"8","sujeto_0005719","4",24,8,2,12,4,6,5,3
"9","sujeto_0006562","1",32,NA,4,14,5,9,NA,NA
"10","sujeto_0006562","2",30,2,4,13,3,10,2,NA
"11","sujeto_0006562","3",30,2,5,13,4,8,1,1
"12","sujeto_0006562","4",28,4,5,11,4,8,3,1
"13","sujeto_0011813","1",23,9,3,9,5,6,6,3
"14","sujeto_0011813","2",26,6,6,10,2,8,3,3
"15","sujeto_0011813","3",29,3,6,12,5,6,1,2
"16","sujeto_0011813","4",28,4,5,12,4,7,2,2
"17","sujeto_0012643","1",32,NA,4,14,5,9,NA,NA
"18","sujeto_0012643","2",32,NA,6,13,3,10,NA,NA
"19","sujeto_0012643","3",32,NA,6,13,5,8,NA,NA
"20","sujeto_0012643","4",32,NA,5,14,4,9,NA,NA
"21","sujeto_0014011","1",31,1,4,14,4,9,NA,1
"22","sujeto_0014011","2",29,3,5,12,3,9,2,1
"23","sujeto_0014011","3",25,7,4,12,4,5,3,4
"24","sujeto_0014011","4",26,6,4,12,4,6,3,3
"25","sujeto_0014895","1",18,14,3,8,2,5,7,7
"26","sujeto_0014895","2",24,8,4,11,3,6,4,4
"27","sujeto_0014895","3",24,8,4,11,4,5,4,4
"28","sujeto_0014895","4",25,7,2,12,4,7,5,2
"29","sujeto_0016883","1",29,3,4,14,3,8,NA,3
"30","sujeto_0016883","2",31,1,5,13,3,10,1,NA
"31","sujeto_0016883","3",32,NA,6,13,5,8,NA,NA
"32","sujeto_0016883","4",32,NA,5,14,4,9,NA,NA
"33","sujeto_0020285","1",25,7,3,9,5,8,6,1
"34","sujeto_0020285","2",23,9,5,9,3,6,5,4
"35","sujeto_0020285","3",19,12,5,9,3,2,5,7
"36","sujeto_0020285","4",19,13,2,11,3,3,6,7
"37","sujeto_0020703","1",27,5,4,13,3,7,1,4
"38","sujeto_0020703","2",26,6,4,13,3,6,2,4
"39","sujeto_0020703","3",27,5,4,13,4,6,2,3
"40","sujeto_0020703","4",25,7,3,12,4,6,4,3
"41","sujeto_0020974","1",32,NA,4,14,5,9,NA,NA
"42","sujeto_0020974","2",32,NA,6,13,3,10,NA,NA
"43","sujeto_0020974","3",32,NA,6,13,5,8,NA,NA
"44","sujeto_0020974","4",31,1,5,14,4,8,NA,1
"45","sujeto_0025043","1",20,12,4,7,4,5,7,5
"46","sujeto_0025043","2",23,9,6,9,3,5,4,5
"47","sujeto_0025043","3",21,11,6,9,3,3,4,7
"48","sujeto_0025043","4",22,10,5,10,3,4,4,6
"49","sujeto_0025948","1",21,11,4,7,5,5,7,4
"50","sujeto_0025948","2",20,12,4,8,2,6,7,5
"51","sujeto_0025948","3",15,17,3,8,2,2,8,9
"52","sujeto_0025948","4",11,21,1,7,1,2,11,10
"53","sujeto_0026622","1",24,8,3,10,5,6,5,3
"54","sujeto_0026622","2",28,4,6,12,3,7,1,3
"55","sujeto_0026622","3",28,4,5,12,4,7,2,2
"56","sujeto_0026622","4",26,6,2,13,4,7,4,2
"57","sujeto_0027033","1",32,NA,4,14,5,9,NA,NA
"58","sujeto_0027033","2",32,NA,6,13,3,10,NA,NA
"59","sujeto_0027033","3",32,NA,6,13,5,8,NA,NA
"60","sujeto_0027033","4",32,NA,5,14,4,9,NA,NA
"61","sujeto_0027042","1",21,11,3,9,4,5,6,5
"62","sujeto_0027042","2",25,6,6,10,3,6,3,3
"63","sujeto_0027042","3",28,4,6,11,5,6,2,2
"64","sujeto_0027042","4",31,1,5,13,4,9,1,NA
"65","sujeto_0027510","1",27,5,4,11,5,7,3,2
"66","sujeto_0027510","2",25,7,6,8,2,9,5,2
"67","sujeto_0027510","3",22,10,6,8,5,3,5,5
"68","sujeto_0027510","4",24,8,4,11,4,5,4,4
"69","sujeto_0028207","1",19,12,3,7,4,5,7,5
"70","sujeto_0028207","2",24,8,6,10,2,6,3,5
"71","sujeto_0028207","3",31,1,6,12,5,8,1,NA
"72","sujeto_0028207","4",30,2,5,13,3,9,1,1
"73","sujeto_0030383","1",32,NA,4,14,5,9,NA,NA
"74","sujeto_0030383","2",27,5,5,11,2,9,3,2
"75","sujeto_0030383","3",29,3,5,12,5,7,2,1
"76","sujeto_0030383","4",28,4,3,13,3,9,3,1
"77","sujeto_0030459","1",32,NA,4,14,5,9,NA,NA
"78","sujeto_0030459","2",31,1,6,13,3,9,NA,1
"79","sujeto_0030459","3",32,NA,6,13,5,8,NA,NA
"80","sujeto_0030459","4",32,NA,5,14,4,9,NA,NA
"81","sujeto_0031826","1",22,10,3,9,4,6,6,4
"82","sujeto_0031826","2",20,12,5,8,1,6,6,6
"83","sujeto_0031826","3",18,14,3,10,2,3,6,8
"84","sujeto_0031826","4",12,20,2,7,1,2,10,10
"85","sujeto_0032413","1",24,8,4,9,5,6,5,3
"86","sujeto_0032413","2",21,11,5,9,2,5,5,6
"87","sujeto_0032413","3",17,13,5,8,2,2,6,7
"88","sujeto_0032413","4",18,14,3,10,3,2,6,8
"89","sujeto_0033050","1",27,4,4,13,4,6,1,3
"90","sujeto_0033050","2",27,5,4,12,3,8,3,2
"91","sujeto_0033050","3",29,3,5,11,5,8,3,NA
"92","sujeto_0033050","4",27,5,4,12,4,7,3,2
"93","sujeto_0034539","1",24,8,3,12,4,5,3,5
"94","sujeto_0034539","2",29,3,6,12,3,8,1,2
"95","sujeto_0034539","3",29,3,6,10,5,8,3,NA
"96","sujeto_0034539","4",26,6,4,13,4,5,2,4
"97","sujeto_0036567","1",32,NA,4,14,5,9,NA,NA
"98","sujeto_0036567","2",32,NA,6,13,3,10,NA,NA
"99","sujeto_0036567","3",22,8,4,9,4,5,4,4
"100","sujeto_0036567","4",24,7,2,12,4,6,4,3
"101","sujeto_0039609","1",21,11,2,11,3,5,5,6
"102","sujeto_0039609","2",17,15,2,8,3,4,9,6
"103","sujeto_0039609","3",20,12,4,8,3,5,7,5
"104","sujeto_0039609","4",21,11,2,10,3,6,7,4
"105","sujeto_0040017","1",31,1,3,14,5,9,1,NA
"106","sujeto_0040017","2",31,1,6,12,3,10,1,NA
"107","sujeto_0040017","3",27,5,6,11,3,7,2,3
"108","sujeto_0040017","4",22,10,5,8,3,6,6,4
"109","sujeto_0040081","1",32,NA,4,14,5,9,NA,NA
"110","sujeto_0040081","2",32,NA,6,13,3,10,NA,NA
"111","sujeto_0040081","3",32,NA,6,13,5,8,NA,NA
"112","sujeto_0040081","4",32,NA,5,14,4,9,NA,NA
"113","sujeto_0048205","1",29,3,3,14,4,8,1,2
"114","sujeto_0048205","2",24,8,4,11,3,6,4,4
"115","sujeto_0048205","3",24,8,4,11,4,5,4,4
"116","sujeto_0048205","4",24,8,2,12,4,6,5,3
"117","sujeto_0048533","1",31,1,4,13,5,9,1,NA
"118","sujeto_0048533","2",31,1,6,13,3,9,NA,1
"119","sujeto_0048533","3",32,NA,6,13,5,8,NA,NA
"120","sujeto_0048533","4",32,NA,5,14,4,9,NA,NA
"121","sujeto_0049193","1",28,4,4,13,3,8,1,3
"122","sujeto_0049193","2",19,13,6,6,NA,7,7,6
"123","sujeto_0049193","3",20,12,4,6,4,6,9,3
"124","sujeto_0049193","4",17,15,3,10,1,3,6,9
"125","sujeto_0050473","1",32,NA,4,14,5,9,NA,NA
"126","sujeto_0050473","2",32,NA,6,13,3,10,NA,NA
"127","sujeto_0050473","3",32,NA,6,13,5,8,NA,NA
"128","sujeto_0050473","4",32,NA,5,14,4,9,NA,NA
"129","sujeto_0051018","1",31,1,4,14,5,8,NA,1
"130","sujeto_0051018","2",28,4,6,12,2,8,1,3
"131","sujeto_0051018","3",26,4,5,9,5,7,4,NA
"132","sujeto_0051018","4",27,5,4,12,3,8,3,2
"133","sujeto_0053568","1",32,NA,4,14,5,9,NA,NA
"134","sujeto_0053568","2",31,1,6,13,3,9,NA,1
"135","sujeto_0053568","3",26,6,5,11,5,5,3,3
"136","sujeto_0053568","4",26,6,4,12,4,6,3,3
"137","sujeto_0058378","1",32,NA,4,14,5,9,NA,NA
"138","sujeto_0058378","2",32,NA,6,13,3,10,NA,NA
"139","sujeto_0058378","3",32,NA,6,13,5,8,NA,NA
"140","sujeto_0058378","4",32,NA,5,14,4,9,NA,NA
"141","sujeto_005868","1",27,5,3,12,5,7,3,2
"142","sujeto_005868","2",22,10,5,10,2,5,4,6
"143","sujeto_005868","3",23,9,4,11,4,4,4,5
"144","sujeto_005868","4",22,10,2,12,3,5,5,5
"145","sujeto_0065422","1",32,NA,4,14,5,9,NA,NA
"146","sujeto_0065422","2",30,2,5,12,3,10,2,NA
"147","sujeto_0065422","3",32,NA,6,13,5,8,NA,NA
"148","sujeto_0065422","4",32,NA,5,14,4,9,NA,NA
"149","sujeto_0066360","1",31,1,4,13,5,9,1,NA
"150","sujeto_0066360","2",32,NA,6,13,3,10,NA,NA
"151","sujeto_0066360","3",32,NA,6,13,5,8,NA,NA
"152","sujeto_0066360","4",32,NA,5,14,4,9,NA,NA
"153","sujeto_0067839","1",27,5,4,10,5,8,4,1
"154","sujeto_0067839","2",24,8,6,8,2,8,5,3
"155","sujeto_0067839","3",19,12,5,9,3,2,5,7
"156","sujeto_0067839","4",17,15,3,9,3,2,7,8
"157","sujeto_0068071","1",26,6,3,13,3,7,2,4
"158","sujeto_0068071","2",23,8,4,10,3,6,4,4
"159","sujeto_0068071","3",23,9,4,10,4,5,5,4
"160","sujeto_0068071","4",24,8,2,12,4,6,5,3
"161","sujeto_0068784","1",31,1,4,14,5,8,NA,1
"162","sujeto_0068784","2",30,2,5,13,3,9,1,1
"163","sujeto_0068784","3",29,3,6,11,4,8,2,1
"164","sujeto_0068784","4",22,10,2,11,2,7,6,4
"165","sujeto_0071765","1",20,12,4,8,3,5,6,6
"166","sujeto_0071765","2",20,12,3,8,3,6,8,4
"167","sujeto_0071765","3",20,12,3,9,3,5,7,5
"168","sujeto_0071765","4",17,15,3,10,1,3,6,9
"169","sujeto_0073050","1",32,NA,4,14,5,9,NA,NA
"170","sujeto_0073050","2",31,1,5,13,3,10,1,NA
"171","sujeto_0073050","3",31,1,6,12,5,8,1,NA
"172","sujeto_0073050","4",30,1,4,13,4,9,1,NA
"173","sujeto_0073105","1",24,8,3,12,3,6,3,5
"174","sujeto_0073105","2",24,8,4,11,3,6,4,4
"175","sujeto_0073105","3",23,9,4,10,4,5,5,4
"176","sujeto_0073105","4",20,6,2,11,3,4,4,2
"177","sujeto_0073942","1",24,8,4,8,5,7,6,2
"178","sujeto_0073942","2",28,4,6,10,3,9,3,1
"179","sujeto_0073942","3",29,3,5,13,5,6,1,2
"180","sujeto_0073942","4",28,4,5,13,4,6,1,3
"181","sujeto_0074431","1",25,7,3,12,3,7,3,4
"182","sujeto_0074431","2",26,6,4,12,3,7,3,3
"183","sujeto_0074431","3",23,9,4,10,4,5,5,4
"184","sujeto_0074431","4",25,7,3,12,4,6,4,3
"185","sujeto_0074535","1",22,10,3,11,2,6,4,6
"186","sujeto_0074535","2",17,15,3,8,NA,6,8,7
"187","sujeto_0074535","3",16,16,3,9,1,3,7,9
"188","sujeto_0074535","4",15,17,1,9,1,4,9,8
"189","sujeto_02de544a","1",23,9,4,10,3,6,4,5
"190","sujeto_02de544a","2",26,6,6,10,3,7,3,3
"191","sujeto_02de544a","3",25,7,6,10,5,4,3,4
"192","sujeto_02de544a","4",25,7,5,12,3,5,2,5
"193","sujeto_06da9741","1",26,6,3,13,5,5,2,4
"194","sujeto_06da9741","2",27,5,5,12,2,8,2,3
"195","sujeto_06da9741","3",28,4,6,12,5,5,1,3
"196","sujeto_06da9741","4",27,5,4,12,4,7,3,2
"197","sujeto_07280530","1",32,NA,4,14,5,9,NA,NA
"198","sujeto_07280530","2",32,NA,6,13,3,10,NA,NA
"199","sujeto_07280530","3",32,NA,6,13,5,8,NA,NA
"200","sujeto_07280530","4",31,1,4,14,4,9,1,NA
"201","sujeto_077f2b56","1",32,NA,4,14,5,9,NA,NA
"202","sujeto_077f2b56","2",32,NA,6,13,3,10,NA,NA
"203","sujeto_077f2b56","3",32,NA,6,13,5,8,NA,NA
"204","sujeto_077f2b56","4",31,NA,5,13,4,9,NA,NA
"205","sujeto_0bf947ec","1",32,NA,4,14,5,9,NA,NA
"206","sujeto_0bf947ec","2",32,NA,6,13,3,10,NA,NA
"207","sujeto_0bf947ec","3",31,1,6,12,5,8,1,NA
"208","sujeto_0bf947ec","4",32,NA,5,14,4,9,NA,NA
"209","sujeto_0d6a2bd1","1",1,31,NA,NA,1,NA,18,13
"210","sujeto_0d6a2bd1","2",1,31,1,NA,NA,NA,18,13
"211","sujeto_0d6a2bd1","3",NA,32,NA,NA,NA,NA,19,13
"212","sujeto_0d6a2bd1","4",NA,32,NA,NA,NA,NA,19,13
"213","sujeto_11124bad","1",32,NA,4,14,5,9,NA,NA
"214","sujeto_11124bad","2",32,NA,6,13,3,10,NA,NA
"215","sujeto_11124bad","3",32,NA,6,13,5,8,NA,NA
"216","sujeto_11124bad","4",32,NA,5,14,4,9,NA,NA
"217","sujeto_151573d2","1",26,6,4,11,4,7,3,3
"218","sujeto_151573d2","2",32,NA,6,13,3,10,NA,NA
"219","sujeto_151573d2","3",26,6,6,10,4,6,3,3
"220","sujeto_151573d2","4",24,7,4,12,4,4,3,4
"221","sujeto_18c10e9c","1",24,8,3,13,3,5,2,6
"222","sujeto_18c10e9c","2",25,7,6,10,2,7,3,4
"223","sujeto_18c10e9c","3",23,9,3,10,5,5,6,3
"224","sujeto_18c10e9c","4",25,7,4,12,3,6,3,4
"225","sujeto_1bb5ad4b","1",30,2,4,12,5,9,2,NA
"226","sujeto_1bb5ad4b","2",32,NA,6,13,3,10,NA,NA
"227","sujeto_1bb5ad4b","3",25,7,4,9,4,8,6,1
"228","sujeto_1bb5ad4b","4",30,2,5,12,4,9,2,NA
"229","sujeto_1d9a94b2","1",32,NA,4,14,5,9,NA,NA
"230","sujeto_1d9a94b2","2",32,NA,6,13,3,10,NA,NA
"231","sujeto_1d9a94b2","3",32,NA,6,13,5,8,NA,NA
"232","sujeto_1d9a94b2","4",32,NA,5,14,4,9,NA,NA
"233","sujeto_2158631b","1",32,NA,4,14,5,9,NA,NA
"234","sujeto_2158631b","2",32,NA,6,13,3,10,NA,NA
"235","sujeto_2158631b","3",32,NA,6,13,5,8,NA,NA
"236","sujeto_2158631b","4",32,NA,5,14,4,9,NA,NA
"237","sujeto_225a39e1","1",30,2,4,13,5,8,1,1
"238","sujeto_225a39e1","2",31,1,6,12,3,10,1,NA
"239","sujeto_225a39e1","3",32,NA,6,13,5,8,NA,NA
"240","sujeto_225a39e1","4",32,NA,5,14,4,9,NA,NA
"241","sujeto_2608c5d2","1",29,3,3,14,4,8,1,2
"242","sujeto_2608c5d2","2",24,8,4,11,3,6,4,4
"243","sujeto_2608c5d2","3",22,9,4,11,3,4,4,5
"244","sujeto_2608c5d2","4",26,6,2,14,4,6,3,3
"245","sujeto_2736348d","1",30,2,4,12,5,9,2,NA
"246","sujeto_2736348d","2",32,NA,6,13,3,10,NA,NA
"247","sujeto_2736348d","3",32,NA,6,13,5,8,NA,NA
"248","sujeto_2736348d","4",31,1,5,13,4,9,1,NA
"249","sujeto_282108e8","1",26,6,4,10,5,7,4,2
"250","sujeto_282108e8","2",25,7,4,10,2,9,5,2
