"","code","game_type","rival","n"
"1","sujeto_0000621","competitive","1",32
"2","sujeto_0000621","competitive","2",32
"3","sujeto_0000621","competitive","3",32
"4","sujeto_0000621","competitive","4",30
"5","sujeto_0000621","individual","4",2
"6","sujeto_0005719","competitive","1",24
"7","sujeto_0005719","competitive","2",25
"8","sujeto_0005719","competitive","3",25
"9","sujeto_0005719","competitive","4",26
"10","sujeto_0005719","individual","1",8
"11","sujeto_0005719","individual","2",7
"12","sujeto_0005719","individual","3",7
"13","sujeto_0005719","individual","4",6
"14","sujeto_0006562","competitive","1",28
"15","sujeto_0006562","competitive","2",31
"16","sujeto_0006562","competitive","3",30
"17","sujeto_0006562","competitive","4",31
"18","sujeto_0006562","individual","1",4
"19","sujeto_0006562","individual","2",1
"20","sujeto_0006562","individual","3",2
"21","sujeto_0006562","individual","4",1
"22","sujeto_0011813","competitive","1",32
"23","sujeto_0011813","competitive","2",31
"24","sujeto_0011813","competitive","3",29
"25","sujeto_0011813","competitive","4",14
"26","sujeto_0011813","individual","2",1
"27","sujeto_0011813","individual","3",3
"28","sujeto_0011813","individual","4",18
"29","sujeto_0012643","competitive","1",32
"30","sujeto_0012643","competitive","2",32
"31","sujeto_0012643","competitive","3",32
"32","sujeto_0012643","competitive","4",32
"33","sujeto_0014011","competitive","1",27
"34","sujeto_0014011","competitive","2",29
"35","sujeto_0014011","competitive","3",28
"36","sujeto_0014011","competitive","4",27
"37","sujeto_0014011","individual","1",5
"38","sujeto_0014011","individual","2",3
"39","sujeto_0014011","individual","3",4
"40","sujeto_0014011","individual","4",5
"41","sujeto_0014895","competitive","1",24
"42","sujeto_0014895","competitive","2",24
"43","sujeto_0014895","competitive","3",21
"44","sujeto_0014895","competitive","4",22
"45","sujeto_0014895","individual","1",8
"46","sujeto_0014895","individual","2",8
"47","sujeto_0014895","individual","3",11
"48","sujeto_0014895","individual","4",10
"49","sujeto_0016883","competitive","1",29
"50","sujeto_0016883","competitive","2",31
"51","sujeto_0016883","competitive","3",32
"52","sujeto_0016883","competitive","4",32
"53","sujeto_0016883","individual","1",3
"54","sujeto_0016883","individual","2",1
"55","sujeto_0020285","competitive","1",28
"56","sujeto_0020285","competitive","2",24
"57","sujeto_0020285","competitive","3",18
"58","sujeto_0020285","competitive","4",16
"59","sujeto_0020285","individual","1",4
"60","sujeto_0020285","individual","2",8
"61","sujeto_0020285","individual","3",13
"62","sujeto_0020285","individual","4",16
"63","sujeto_0020703","competitive","1",26
"64","sujeto_0020703","competitive","2",26
"65","sujeto_0020703","competitive","3",27
"66","sujeto_0020703","competitive","4",26
"67","sujeto_0020703","individual","1",6
"68","sujeto_0020703","individual","2",6
"69","sujeto_0020703","individual","3",5
"70","sujeto_0020703","individual","4",6
"71","sujeto_0020974","competitive","1",32
"72","sujeto_0020974","competitive","2",32
"73","sujeto_0020974","competitive","3",32
"74","sujeto_0020974","competitive","4",31
"75","sujeto_0020974","individual","4",1
"76","sujeto_0025043","competitive","1",31
"77","sujeto_0025043","competitive","2",29
"78","sujeto_0025043","competitive","3",16
"79","sujeto_0025043","competitive","4",10
"80","sujeto_0025043","individual","1",1
"81","sujeto_0025043","individual","2",3
"82","sujeto_0025043","individual","3",16
"83","sujeto_0025043","individual","4",22
"84","sujeto_0025948","competitive","1",24
"85","sujeto_0025948","competitive","2",20
"86","sujeto_0025948","competitive","3",15
"87","sujeto_0025948","competitive","4",8
"88","sujeto_0025948","individual","1",8
"89","sujeto_0025948","individual","2",12
"90","sujeto_0025948","individual","3",17
"91","sujeto_0025948","individual","4",24
"92","sujeto_0026622","competitive","1",27
"93","sujeto_0026622","competitive","2",30
"94","sujeto_0026622","competitive","3",27
"95","sujeto_0026622","competitive","4",22
"96","sujeto_0026622","individual","1",5
"97","sujeto_0026622","individual","2",2
"98","sujeto_0026622","individual","3",5
"99","sujeto_0026622","individual","4",10
"100","sujeto_0027033","competitive","1",32
"101","sujeto_0027033","competitive","2",32
"102","sujeto_0027033","competitive","3",32
"103","sujeto_0027033","competitive","4",32
"104","sujeto_0027042","competitive","1",30
"105","sujeto_0027042","competitive","2",31
"106","sujeto_0027042","competitive","3",26
"107","sujeto_0027042","competitive","4",18
"108","sujeto_0027042","individual","1",1
"109","sujeto_0027042","individual","2",1
"110","sujeto_0027042","individual","3",6
"111","sujeto_0027042","individual","4",14
"112","sujeto_0027510","competitive","1",32
"113","sujeto_0027510","competitive","2",31
"114","sujeto_0027510","competitive","3",21
"115","sujeto_0027510","competitive","4",14
"116","sujeto_0027510","individual","2",1
"117","sujeto_0027510","individual","3",11
"118","sujeto_0027510","individual","4",18
"119","sujeto_0028207","competitive","1",29
"120","sujeto_0028207","competitive","2",30
"121","sujeto_0028207","competitive","3",24
"122","sujeto_0028207","competitive","4",21
"123","sujeto_0028207","individual","1",3
"124","sujeto_0028207","individual","2",2
"125","sujeto_0028207","individual","3",8
"126","sujeto_0028207","individual","4",10
"127","sujeto_0030383","competitive","1",21
"128","sujeto_0030383","competitive","2",32
"129","sujeto_0030383","competitive","3",32
"130","sujeto_0030383","competitive","4",31
"131","sujeto_0030383","individual","1",11
"132","sujeto_0030383","individual","4",1
"133","sujeto_0030459","competitive","1",32
"134","sujeto_0030459","competitive","2",32
"135","sujeto_0030459","competitive","3",31
"136","sujeto_0030459","competitive","4",32
"137","sujeto_0030459","individual","3",1
"138","sujeto_0031826","competitive","1",21
"139","sujeto_0031826","competitive","2",17
"140","sujeto_0031826","competitive","3",19
"141","sujeto_0031826","competitive","4",15
"142","sujeto_0031826","individual","1",11
"143","sujeto_0031826","individual","2",15
"144","sujeto_0031826","individual","3",13
"145","sujeto_0031826","individual","4",17
"146","sujeto_0032413","competitive","1",28
"147","sujeto_0032413","competitive","2",23
"148","sujeto_0032413","competitive","3",19
"149","sujeto_0032413","competitive","4",10
"150","sujeto_0032413","individual","1",4
"151","sujeto_0032413","individual","2",9
"152","sujeto_0032413","individual","3",11
"153","sujeto_0032413","individual","4",22
"154","sujeto_0033050","competitive","1",29
"155","sujeto_0033050","competitive","2",28
"156","sujeto_0033050","competitive","3",28
"157","sujeto_0033050","competitive","4",25
"158","sujeto_0033050","individual","1",3
"159","sujeto_0033050","individual","2",4
"160","sujeto_0033050","individual","3",3
"161","sujeto_0033050","individual","4",7
"162","sujeto_0034539","competitive","1",29
"163","sujeto_0034539","competitive","2",29
"164","sujeto_0034539","competitive","3",29
"165","sujeto_0034539","competitive","4",21
"166","sujeto_0034539","individual","1",3
"167","sujeto_0034539","individual","2",3
"168","sujeto_0034539","individual","3",3
"169","sujeto_0034539","individual","4",11
"170","sujeto_0036567","competitive","1",27
"171","sujeto_0036567","competitive","2",28
"172","sujeto_0036567","competitive","3",27
"173","sujeto_0036567","competitive","4",28
"174","sujeto_0036567","individual","1",3
"175","sujeto_0036567","individual","2",3
"176","sujeto_0036567","individual","3",5
"177","sujeto_0036567","individual","4",4
"178","sujeto_0039609","competitive","1",19
"179","sujeto_0039609","competitive","2",23
"180","sujeto_0039609","competitive","3",20
"181","sujeto_0039609","competitive","4",17
"182","sujeto_0039609","individual","1",13
"183","sujeto_0039609","individual","2",9
"184","sujeto_0039609","individual","3",12
"185","sujeto_0039609","individual","4",15
"186","sujeto_0040017","competitive","1",27
"187","sujeto_0040017","competitive","2",30
"188","sujeto_0040017","competitive","3",26
"189","sujeto_0040017","competitive","4",28
"190","sujeto_0040017","individual","1",5
"191","sujeto_0040017","individual","2",2
"192","sujeto_0040017","individual","3",6
"193","sujeto_0040017","individual","4",4
"194","sujeto_0040081","competitive","1",32
"195","sujeto_0040081","competitive","2",32
"196","sujeto_0040081","competitive","3",32
"197","sujeto_0040081","competitive","4",32
"198","sujeto_0048205","competitive","1",25
"199","sujeto_0048205","competitive","2",25
"200","sujeto_0048205","competitive","3",25
"201","sujeto_0048205","competitive","4",26
"202","sujeto_0048205","individual","1",7
"203","sujeto_0048205","individual","2",7
"204","sujeto_0048205","individual","3",7
"205","sujeto_0048205","individual","4",6
"206","sujeto_0048533","competitive","1",31
"207","sujeto_0048533","competitive","2",32
"208","sujeto_0048533","competitive","3",31
"209","sujeto_0048533","competitive","4",32
"210","sujeto_0048533","individual","1",1
"211","sujeto_0048533","individual","3",1
"212","sujeto_0049193","competitive","1",23
"213","sujeto_0049193","competitive","2",25
"214","sujeto_0049193","competitive","3",22
"215","sujeto_0049193","competitive","4",14
"216","sujeto_0049193","individual","1",9
"217","sujeto_0049193","individual","2",7
"218","sujeto_0049193","individual","3",10
"219","sujeto_0049193","individual","4",18
"220","sujeto_0050473","competitive","1",32
"221","sujeto_0050473","competitive","2",32
"222","sujeto_0050473","competitive","3",32
"223","sujeto_0050473","competitive","4",32
"224","sujeto_0051018","competitive","1",30
"225","sujeto_0051018","competitive","2",27
"226","sujeto_0051018","competitive","3",27
"227","sujeto_0051018","competitive","4",28
"228","sujeto_0051018","individual","1",1
"229","sujeto_0051018","individual","2",4
"230","sujeto_0051018","individual","3",5
"231","sujeto_0051018","individual","4",4
"232","sujeto_0053568","competitive","1",32
"233","sujeto_0053568","competitive","2",28
"234","sujeto_0053568","competitive","3",28
"235","sujeto_0053568","competitive","4",27
"236","sujeto_0053568","individual","2",4
"237","sujeto_0053568","individual","3",4
"238","sujeto_0053568","individual","4",5
"239","sujeto_0058378","competitive","1",32
"240","sujeto_0058378","competitive","2",32
"241","sujeto_0058378","competitive","3",32
"242","sujeto_0058378","competitive","4",32
"243","sujeto_005868","competitive","1",27
"244","sujeto_005868","competitive","2",25
"245","sujeto_005868","competitive","3",22
"246","sujeto_005868","competitive","4",20
"247","sujeto_005868","individual","1",5
"248","sujeto_005868","individual","2",7
"249","sujeto_005868","individual","3",10
"250","sujeto_005868","individual","4",12
"251","sujeto_0065422","competitive","1",32
"252","sujeto_0065422","competitive","2",31
"253","sujeto_0065422","competitive","3",32
"254","sujeto_0065422","competitive","4",31
"255","sujeto_0065422","individual","2",1
"256","sujeto_0065422","individual","4",1
"257","sujeto_0066360","competitive","1",32
"258","sujeto_0066360","competitive","2",32
"259","sujeto_0066360","competitive","3",32
"260","sujeto_0066360","competitive","4",31
"261","sujeto_0066360","individual","4",1
"262","sujeto_0067839","competitive","1",30
"263","sujeto_0067839","competitive","2",28
"264","sujeto_0067839","competitive","3",17
"265","sujeto_0067839","competitive","4",12
"266","sujeto_0067839","individual","1",2
"267","sujeto_0067839","individual","2",4
"268","sujeto_0067839","individual","3",14
"269","sujeto_0067839","individual","4",20
"270","sujeto_0068071","competitive","1",24
"271","sujeto_0068071","competitive","2",25
"272","sujeto_0068071","competitive","3",24
"273","sujeto_0068071","competitive","4",23
"274","sujeto_0068071","individual","1",8
"275","sujeto_0068071","individual","2",7
"276","sujeto_0068071","individual","3",8
"277","sujeto_0068071","individual","4",8
"278","sujeto_0068784","competitive","1",28
"279","sujeto_0068784","competitive","2",28
"280","sujeto_0068784","competitive","3",28
"281","sujeto_0068784","competitive","4",28
"282","sujeto_0068784","individual","1",4
"283","sujeto_0068784","individual","2",4
"284","sujeto_0068784","individual","3",4
"285","sujeto_0068784","individual","4",4
"286","sujeto_0071765","competitive","1",27
"287","sujeto_0071765","competitive","2",22
"288","sujeto_0071765","competitive","3",17
"289","sujeto_0071765","competitive","4",11
"290","sujeto_0071765","individual","1",5
"291","sujeto_0071765","individual","2",10
"292","sujeto_0071765","individual","3",15
"293","sujeto_0071765","individual","4",21
"294","sujeto_0073050","competitive","1",30
"295","sujeto_0073050","competitive","2",32
"296","sujeto_0073050","competitive","3",32
"297","sujeto_0073050","competitive","4",30
"298","sujeto_0073050","individual","1",2
"299","sujeto_0073050","individual","4",1
"300","sujeto_0073105","competitive","1",23
"301","sujeto_0073105","competitive","2",23
"302","sujeto_0073105","competitive","3",21
"303","sujeto_0073105","competitive","4",24
"304","sujeto_0073105","individual","1",7
"305","sujeto_0073105","individual","2",8
"306","sujeto_0073105","individual","3",8
"307","sujeto_0073105","individual","4",8
"308","sujeto_0073942","competitive","1",30
"309","sujeto_0073942","competitive","2",32
"310","sujeto_0073942","competitive","3",25
"311","sujeto_0073942","competitive","4",22
"312","sujeto_0073942","individual","1",2
"313","sujeto_0073942","individual","3",7
"314","sujeto_0073942","individual","4",10
"315","sujeto_0074431","competitive","1",25
"316","sujeto_0074431","competitive","2",25
"317","sujeto_0074431","competitive","3",24
"318","sujeto_0074431","competitive","4",25
"319","sujeto_0074431","individual","1",7
"320","sujeto_0074431","individual","2",7
"321","sujeto_0074431","individual","3",8
"322","sujeto_0074431","individual","4",7
"323","sujeto_0074535","competitive","1",18
"324","sujeto_0074535","competitive","2",17
"325","sujeto_0074535","competitive","3",18
"326","sujeto_0074535","competitive","4",17
"327","sujeto_0074535","individual","1",14
"328","sujeto_0074535","individual","2",15
"329","sujeto_0074535","individual","3",14
"330","sujeto_0074535","individual","4",15
"331","sujeto_02de544a","competitive","1",30
"332","sujeto_02de544a","competitive","2",31
"333","sujeto_02de544a","competitive","3",22
"334","sujeto_02de544a","competitive","4",16
"335","sujeto_02de544a","individual","1",2
"336","sujeto_02de544a","individual","2",1
"337","sujeto_02de544a","individual","3",10
"338","sujeto_02de544a","individual","4",16
"339","sujeto_06da9741","competitive","1",30
"340","sujeto_06da9741","competitive","2",26
"341","sujeto_06da9741","competitive","3",24
"342","sujeto_06da9741","competitive","4",28
"343","sujeto_06da9741","individual","1",2
"344","sujeto_06da9741","individual","2",6
"345","sujeto_06da9741","individual","3",8
"346","sujeto_06da9741","individual","4",4
"347","sujeto_07280530","competitive","1",31
"348","sujeto_07280530","competitive","2",32
"349","sujeto_07280530","competitive","3",32
"350","sujeto_07280530","competitive","4",32
"351","sujeto_07280530","individual","1",1
"352","sujeto_077f2b56","competitive","1",31
"353","sujeto_077f2b56","competitive","2",32
"354","sujeto_077f2b56","competitive","3",32
"355","sujeto_077f2b56","competitive","4",32
"356","sujeto_0bf947ec","competitive","1",32
"357","sujeto_0bf947ec","competitive","2",32
"358","sujeto_0bf947ec","competitive","3",31
"359","sujeto_0bf947ec","competitive","4",32
"360","sujeto_0bf947ec","individual","3",1
"361","sujeto_0d6a2bd1","competitive","1",1
"362","sujeto_0d6a2bd1","competitive","2",1
"363","sujeto_0d6a2bd1","individual","1",31
"364","sujeto_0d6a2bd1","individual","2",31
"365","sujeto_0d6a2bd1","individual","3",32
"366","sujeto_0d6a2bd1","individual","4",32
"367","sujeto_11124bad","competitive","1",32
"368","sujeto_11124bad","competitive","2",32
"369","sujeto_11124bad","competitive","3",32
"370","sujeto_11124bad","competitive","4",32
"371","sujeto_151573d2","competitive","1",32
"372","sujeto_151573d2","competitive","2",29
"373","sujeto_151573d2","competitive","3",23
"374","sujeto_151573d2","competitive","4",24
"375","sujeto_151573d2","individual","2",3
"376","sujeto_151573d2","individual","3",8
"377","sujeto_151573d2","individual","4",8
"378","sujeto_18c10e9c","competitive","1",29
"379","sujeto_18c10e9c","competitive","2",27
"380","sujeto_18c10e9c","competitive","3",21
"381","sujeto_18c10e9c","competitive","4",20
"382","sujeto_18c10e9c","individual","1",3
"383","sujeto_18c10e9c","individual","2",5
"384","sujeto_18c10e9c","individual","3",11
"385","sujeto_18c10e9c","individual","4",12
"386","sujeto_1bb5ad4b","competitive","1",28
"387","sujeto_1bb5ad4b","competitive","2",30
"388","sujeto_1bb5ad4b","competitive","3",29
"389","sujeto_1bb5ad4b","competitive","4",30
"390","sujeto_1bb5ad4b","individual","1",4
"391","sujeto_1bb5ad4b","individual","2",2
"392","sujeto_1bb5ad4b","individual","3",3
"393","sujeto_1bb5ad4b","individual","4",2
"394","sujeto_1d9a94b2","competitive","1",32
"395","sujeto_1d9a94b2","competitive","2",32
"396","sujeto_1d9a94b2","competitive","3",32
"397","sujeto_1d9a94b2","competitive","4",32
"398","sujeto_2158631b","competitive","1",32
"399","sujeto_2158631b","competitive","2",32
"400","sujeto_2158631b","competitive","3",32
"401","sujeto_2158631b","competitive","4",32
"402","sujeto_225a39e1","competitive","1",32
"403","sujeto_225a39e1","competitive","2",32
"404","sujeto_225a39e1","competitive","3",32
"405","sujeto_225a39e1","competitive","4",29
"406","sujeto_225a39e1","individual","4",3
"407","sujeto_2608c5d2","competitive","1",25
"408","sujeto_2608c5d2","competitive","2",24
"409","sujeto_2608c5d2","competitive","3",26
"410","sujeto_2608c5d2","competitive","4",26
"411","sujeto_2608c5d2","individual","1",7
"412","sujeto_2608c5d2","individual","2",8
"413","sujeto_2608c5d2","individual","3",6
"414","sujeto_2608c5d2","individual","4",5
"415","sujeto_2736348d","competitive","1",32
"416","sujeto_2736348d","competitive","2",32
"417","sujeto_2736348d","competitive","3",30
"418","sujeto_2736348d","competitive","4",31
"419","sujeto_2736348d","individual","3",2
"420","sujeto_2736348d","individual","4",1
"421","sujeto_282108e8","competitive","1",30
"422","sujeto_282108e8","competitive","2",28
