codigo,MB_grt_MM,MB,MM
sujeto_0020285,"-1,9389645122","0,2137163348","2,152680847"
sujeto_0025948,"-1,0354707758","-0,4816327715","0,5538380043"
sujeto_0026622,"1,9693953277","-0,7965631203","-2,765958448"
sujeto_0027510,"-1,371011658","-1,252418616","0,118593042"
sujeto_0031826,"0,60287882819","0,6648384419","0,06195961371"
sujeto_0032413,"0,077441085","1,784927528","1,707486443"
sujeto_0071765,"0,5508196078","-0,1524197554","-0,7032393632"
sujeto_0073942,"-1,296549369","-0,5535671024","0,7429822666"
sujeto_02de544a,"0,20713294834","0,1663128162","-0,04082013214"
sujeto_18c10e9c,"0,5756101434","0,1677033938","-0,4079067496"
sujeto_2a9aaa08,"1,3513392586","-0,3959697564","-1,747309015"
sujeto_46315dbc,"0,25936731549","0,2283125814","-0,03105473409"
sujeto_4ca6cef4,"0,3780176254","-0,4829824678","-0,8610000932"
sujeto_587bbcbb,"-1,23016825779","-1,152321334","0,07784692379"
sujeto_665d6eab,"-2,828427188","-1,287028288","1,5413989"
sujeto_685cae59,"-2,861162302","-0,853441135","2,007721167"
sujeto_6fce57c3,"0,32019788819","0,2925049641","-0,02769292409"
sujeto_725769f0,"-0,8594857141","-0,2993917997","0,5600939144"
sujeto_7e1d6f1a,"-0,142809835","1,647807629","1,790617464"
sujeto_8e872371,"0,1227920645","-0,8992956505","-1,022087715"
sujeto_a90bad1a,"-0,0306797631","-0,4262997412","-0,3956199781"
sujeto_b7fbb303,"-3,174102889","3,247929414","6,422032303"
sujeto_c28223ba,"0,9302283475","1,157024802","0,2267964545"
sujeto_c3d9e000,"0,8825359108","0,4966158916","-0,3859200192"
sujeto_dabe6acb,"3,4896873665","2,560351587","-0,9293357795"
sujeto_dcc3c5a9,"0,2202669835","-0,2924913294","-0,5127583129"
sujeto_eafb7359,"-0,39529474161","-0,3057526112","0,08954213041"
sujeto_0000621,"-0,0127502284","0,1394669828","0,1522172112"
sujeto_0005719,"0,0185516164","-0,381785776","-0,4003373924"
sujeto_0006562,"1,0023633202","0,8655692905","-0,1367940297"
sujeto_0012643,"0,3725674323","-0,4789126496","-0,8514800819"
sujeto_0014011,"-2,3643448756","-0,6722459516","1,692098924"
sujeto_0014895,"-0,37750353388","-0,3293544859","0,04814904798"
sujeto_0016883,"1,1660571094","0,7286983016","-0,4373588078"
sujeto_0020703,"-1,2145574062","-1,085791883","0,1287655232"
sujeto_0020974,"-1,1405304349","-0,2815428129","0,858987622"
sujeto_0027033,"1,27519315182","0,04974543582","-1,225447716"
sujeto_0027042,"-0,281432893","1,56914931","1,850582203"
sujeto_0028207,"-0,8815955949","-0,1772073725","0,7043882224"
sujeto_0030383,"-0,3573324115","-0,1863813479","0,1709510636"
sujeto_0030459,"-1,4866327705","-0,8855137596","0,6011190109"
sujeto_0033050,"0,4858201452","0,6229243265","0,1371041813"
sujeto_0034539,"-0,7903348325","-1,265132692","-0,4747978595"
sujeto_0036567,"-0,6187949621","-1,181576485","-0,5627815229"
sujeto_0040017,"-0,4788017523","-0,2550682973","0,223733455"
sujeto_0040081,"0,42282739","0,320088826","-0,102738564"
sujeto_0048205,"0,0621545522999999","-0,4612800167","-0,523434569"
sujeto_0048533,"0,7805456002","0,6248057584","-0,1557398418"
sujeto_0050473,"-0,1811624733","0,3380573599","0,5192198332"
sujeto_0051018,"0,6193737587","0,1432452944","-0,4761284643"
sujeto_0053568,"1,01560837635","0,06582456195","-0,9497838144"
sujeto_0058378,"0,7298424437","1,533637356","0,8037949123"
sujeto_005868,"-1,164950579","-0,2003606733","0,9645899057"
sujeto_0065422,"0,4486220561","0,2102798237","-0,2383422324"
sujeto_0066360,"-0,7563857009","-1,300095871","-0,5437101701"
sujeto_0068071,"-0,7839251652","0,1022421993","0,8861673645"
sujeto_0068784,"0,8092041074","-0,4846822826","-1,29388639"
sujeto_0073050,"1,4462119359","0,2408987899","-1,205313146"
sujeto_0073105,"1,03417611446","-0,06921017354","-1,103386288"
sujeto_0074431,"0,1977177667","0,3635850005","0,1658672338"
sujeto_06da9741,"0,6326622119","0,3824578586","-0,2502043533"
sujeto_07280530,"-0,2161211252","0,9305803498","1,146701475"
sujeto_077f2b56,"-0,4714059383","-0,8971558808","-0,4257499425"
sujeto_0bf947ec,"0,00750668883","-0,05816789944","-0,06567458827"
sujeto_11124bad,"0,10536010877","-0,05017120963","-0,1555313184"
sujeto_151573d2,"0,8745079301","0,2029765489","-0,6715313812"
sujeto_1bb5ad4b,"0,052329378","-0,3815781522","-0,4339075302"
sujeto_1d9a94b2,"-0,0385983949000001","-0,6041878335","-0,5655894386"
sujeto_2158631b,"0,302931135","1,758538484","1,455607349"
sujeto_225a39e1,"-0,555701412753","0,005793432647","0,5614948454"
sujeto_2608c5d2,"1,7035536103","0,5287151693","-1,174838441"
sujeto_2736348d,"-0,07517028505","-0,05631898299","0,01885130206"
sujeto_282108e8,"0,83915985984","0,07574241754","-0,7634174423"
sujeto_2c6c72ad,"0,057406246","-1,643736444","-1,70114269"
sujeto_2cd1c0e6,"0,929299916","-0,610729201","-1,540029117"
sujeto_32e036e7,"-0,8738082879","-1,086274353","-0,2124660651"
sujeto_33dcff34,"-1,249986663","-0,9598707763","0,2901158867"
sujeto_39b35dcb,"1,2639654287","0,3094145808","-0,9545508479"
sujeto_3e78614c,"-2,2552655094","-0,0386208124","2,216644697"
sujeto_4517150c,"0,5755034567","-0,2440489037","-0,8195523604"
sujeto_4541440b,"-2,772761635","-1,551325513","1,221436122"
sujeto_4e042fb0,"-0,37894736929","-0,3617480064","0,01719936289"
sujeto_5061298e,"-0,22577026569","-0,1645426435","0,06122762219"
sujeto_529b55b0,"-2,2126895577","-0,9014994697","1,311190088"
sujeto_52c54ab9,"-1,4507029519","0,6055269071","2,056229859"
sujeto_5fc6b519,"0,4033265076","-0,1947529566","-0,5980794642"
sujeto_61b0c637,"1,105042515","0,1351338202","-0,9699086948"
sujeto_63c82dc6,"-1,6312876331","-0,4834244101","1,147863223"
sujeto_6462fbbc,"0,2483541857","-0,8035692473","-1,051923433"
sujeto_649d6cd3,"-0,6944439319","-0,4493322542","0,2451116777"
sujeto_66362819,"-0,2685731809","-1,246505673","-0,9779324921"
sujeto_72b8e12c,"0,81798697459","0,04730346049","-0,7706835141"
sujeto_74a044c9,"1,50271288824","-0,01703895276","-1,519751841"
sujeto_774f4a36,"-0,7829481511","-0,3526248294","0,4303233217"
sujeto_7b0e6648,"-0,00808357029999998","-0,186062928","-0,1779793577"
sujeto_80570e8a,"-0,29935083567","-0,2242484206","0,07510241507"
sujeto_80f4d7da,"0,1748412787","0,8647702888","0,6899290101"
sujeto_85db03a2,"-0,5892281524","0,4568630406","1,046091193"
sujeto_96083b42,"-0,823928008","1,21242688","2,036354888"
sujeto_9ae17e76,"0,17474786629","0,09431393396","-0,08043393233"
sujeto_9d0bd287,"0,334153786","-0,1882903265","-0,5224441125"
sujeto_acaff5ce,"0,625707792","-0,2212867821","-0,8469945741"
sujeto_c36569e9,"-0,2403506386","0,4768512837","0,7172019223"
sujeto_c730bc55,"-0,5238843358","0,5304114342","1,05429577"
sujeto_c9ac0c57,"0,6091324413","0,3223507182","-0,2867817231"
sujeto_cfeb32c5,"-0,38661328411","-0,08394868911","0,302664595"
sujeto_d04e11ed,"0,8224512938","0,9545417396","0,1320904458"
sujeto_d72d8a7c,"-0,84136191657","-0,07517758887","0,7661843277"
sujeto_dccc88fd,"-0,853163145","-0,5198661907","0,3332969543"
sujeto_e1314c94,"-0,2779549024","0,8746875456","1,152642448"
sujeto_e29aeec5,"0,7481750192","1,255052962","0,5068779428"
sujeto_e844afe8,"0,69738830959","-0,04553727221","-0,7429255818"
sujeto_e9306fb7,"0,3839695856","-0,9999391034","-1,383908689"
sujeto_e97cf70e,"-0,7529117908","0,7417348272","1,494646618"
sujeto_e9ec652d,"-0,2986491839","-0,8670851193","-0,5684359354"
sujeto_efe9883f,"-0,411974045","-0,8573532141","-0,4453791691"
sujeto_fddffe87,"-0,9681020255","0,1962734875","1,164375513"
